
Democratic %
state                     min      max      avg      std      med      mad
Alabama                  0.00    86.38    52.41    21.30    56.45    13.87
Alaska                  26.41    65.91    37.50     9.80    35.65     5.16
Arizona                 28.24    69.85    45.25    10.60    44.39     5.49
Arkansas                 9.90    85.96    54.11    14.81    55.62     7.97
California               8.23    66.95    45.88    11.08    46.84     5.30
Colorado                 0.00    84.95    43.26    15.11    43.61     4.70
Connecticut             21.50    67.81    46.18     9.01    47.59     5.85
D.C.                    74.89    92.46    84.86     4.92    85.17     3.45
Delaware                 6.60    61.94    48.21     9.33    48.76     5.28
Florida                  0.00    85.01    51.55    17.85    50.52    10.96
Georgia                 10.90    91.60    58.40    17.46    59.41    12.75
Hawaii                  37.52    78.76    55.94    11.29    54.27     6.18
Idaho                    0.00    78.10    37.71    14.93    34.67     7.73
Illinois                23.36    61.92    46.29     8.22    46.43     3.75
Indiana                 33.34    56.63    44.54     5.46    45.70     4.15
Iowa                    16.64    61.88    43.02     8.46    42.90     4.82
Kansas                   0.00    54.09    36.27    10.27    36.05     5.55
Kentucky                17.50    74.55    49.03    10.19    49.74     5.58
Louisiana                0.00    92.79    56.58    22.05    51.73    17.51
Maine                   21.83    68.84    41.43     9.42    41.26     6.42
Maryland                 6.40    67.20    50.10    10.10    50.34     5.44
Massachusetts           20.30    76.19    45.81    13.15    46.61     9.37
Michigan                13.13    66.70    43.51     9.91    44.15     4.03
Minnesota                6.80    63.76    43.84    11.65    46.08     6.88
Mississippi              4.70    97.06    59.34    27.38    59.44    22.66
Missouri                30.30    64.05    48.59     7.06    49.14     4.76
Montana                 19.38    79.93    45.01    12.21    41.65     6.27
Nebraska                12.46    62.98    37.81    10.00    36.14     5.38
Nevada                   6.56    81.21    45.69    13.48    44.61     6.69
New Hampshire           25.88    63.89    43.73     7.54    45.71     4.69
New Jersey               0.00    65.61    45.27    10.98    47.23     5.69
New Mexico              36.56    62.72    48.32     7.44    48.26     5.24
New York                 0.00    68.56    47.38    11.62    48.42     4.59
North Carolina           2.80    74.03    50.44    12.46    51.95     5.93
North Dakota             0.00    69.59    37.23    13.78    38.16     6.16
Ohio                    23.70    62.94    45.27     6.55    46.15     3.20
Oklahoma                24.00    73.30    44.02    11.96    42.95     8.25
Oregon                  18.15    64.42    44.14    10.32    46.25     5.07
Pennsylvania             3.50    64.92    43.59    10.74    46.57     4.09
Rhode Island            26.39    80.87    47.62    11.98    47.04     9.69
South Carolina           0.00    98.57    59.58    29.01    50.24    23.66
South Dakota            12.88    63.62    39.47    11.14    41.64     4.68
Tennessee                0.00    68.85    47.25    13.42    49.71     3.94
Texas                    0.03    88.06    56.08    17.86    57.07    13.72
U. S.                   21.50    61.05    45.97     7.48    46.71     3.67
Utah                    20.57    82.70    40.63    15.26    35.44     9.44
Vermont                 15.67    67.46    36.19    14.31    35.22    10.79
Virginia                 9.70    70.23    50.89    12.30    51.05     8.91
Washington              10.16    66.38    44.94    13.06    47.68     8.76
West Virginia           26.43    67.94    47.70     7.97    48.41     5.11
Wisconsin                8.10    63.80    44.43    10.26    44.28     3.91
Wyoming                  0.00    60.58    37.30    12.86    36.52     7.87
U. S.                   21.50    61.05    45.97     7.48    46.71     3.67

Republican %
state                     min      max      avg      std      med      mad
Alabama                  0.00    72.43    36.60    19.98    37.83    16.54
Alaska                  34.09    66.65    53.49     8.59    54.80     4.00
Arizona                 12.74    66.42    48.53    12.49    53.64     6.97
Arkansas                 0.00    68.82    38.15    15.79    39.03     9.47
California               0.58    66.20    46.27    12.40    49.16     7.22
Colorado                 0.00    64.72    47.12    13.55    50.84     6.16
Connecticut             32.09    63.72    49.36     8.28    49.55     5.23
D.C.                     4.07    21.56    11.91     4.91    11.38     3.03
Delaware                 2.12    65.03    46.13    10.65    47.21     5.31
Florida                  0.00    71.91    37.18    19.11    41.61    13.47
Georgia                  0.00    75.04    33.15    18.03    32.80    14.34
Hawaii                  21.24    62.48    39.91    11.42    38.70     8.67
Idaho                   21.32    72.36    53.75    12.44    55.44     8.95
Illinois                22.13    67.81    48.87     8.54    50.10     5.59
Indiana                 23.11    66.11    51.25     7.31    51.10     3.93
Iowa                    24.33    70.91    52.09     8.72    52.36     4.78
Kansas                  20.47    81.70    57.03    10.55    57.85     5.36
Kentucky                 0.00    63.37    44.70    13.64    46.44     6.52
Louisiana                0.00    65.32    32.61    20.19    29.31    18.15
Maine                   20.48    72.03    54.07    12.12    55.83     6.92
Maryland                 0.33    61.26    43.06    12.50    45.29     6.21
Massachusetts           23.44    72.20    48.89    12.95    48.36     9.85
Michigan                27.63    75.37    51.68    10.13    51.83     5.15
Minnesota               19.25    73.98    49.55    11.18    48.41     7.58
Mississippi              0.00    87.14    29.65    25.45    24.67    21.93
Missouri                 0.00    69.70    45.69    12.19    47.50     5.47
Montana                 19.71    61.13    47.33    11.08    50.05     7.75
Nebraska                21.74    70.68    56.29    10.72    58.97     5.71
Nevada                  15.89    65.85    47.13    12.16    47.60     8.94
New Hampshire           36.11    68.66    53.03     7.93    52.41     5.33
New Jersey              20.53    67.65    48.99     9.64    48.95     7.25
New Mexico              35.76    61.05    47.56     7.67    47.85     6.07
New York                28.68    64.56    46.94     8.51    48.04     5.09
North Carolina           0.00    69.46    42.87    14.47    46.23     5.52
North Dakota            26.58    77.79    54.54    12.17    55.50     6.81
Ohio                    26.82    64.89    50.40     7.23    50.99     3.30
Oklahoma                26.70    73.70    51.34    12.53    50.03     9.63
Oregon                  25.30    67.06    48.21     9.08    49.70     4.65
Pennsylvania            22.45    68.00    50.70     9.39    50.84     4.41
Rhode Island            19.13    71.94    48.40    12.83    50.71    10.05
South Carolina           0.00    75.73    30.68    25.08    29.57    25.05
South Dakota             0.00    71.09    52.97    12.44    55.44     5.07
Tennessee                0.00    68.43    43.48    15.50    45.59     6.37
Texas                    0.00    66.20    35.25    18.69    30.83    17.14
U. S.                   23.17    60.67    47.98     7.81    48.02     4.68
Utah                    17.27    74.50    53.32    13.87    54.81     9.79
Vermont                 30.27    80.08    59.44    16.43    62.43    12.65
Virginia                 0.00    67.84    42.53    14.05    44.97     7.47
Washington              21.82    69.95    46.09    10.36    44.85     7.44
West Virginia           21.11    68.50    48.99     9.60    49.03     6.23
Wisconsin               30.26    71.10    49.66     8.84    49.79     4.40
Wyoming                 34.42    70.51    55.79    10.52    57.21     8.52
U. S.                   23.17    60.67    47.98     7.81    48.02     4.68

