Alabama                 62.08     0.00    37.92
Arkansas                67.12     0.00    32.88
California              48.38    18.78    32.84
Connecticut             43.57    53.18     3.25
Delaware                54.83     2.12    43.05
Florida                 56.81     0.00    43.19
Georgia                 57.14     0.00    42.86
Illinois                44.09    40.23    15.68
Indiana                 50.41    40.09     9.50
Iowa                    40.70    48.83    10.47
Kentucky                52.54     0.00    47.46
Louisiana               51.70     0.00    48.30
Maine                   35.68    61.34     2.98
Maryland                45.04     0.33    54.63
Massachusetts           23.08    63.61    13.31
Michigan                41.52    57.15     1.33
Mississippi             59.44     0.00    40.56
Missouri                54.43     0.00    45.57
New Hampshire           45.71    53.71     0.58
New Jersey              47.23    28.51    24.26
New York                32.84    46.27    20.89
North Carolina          56.78     0.00    43.22
Ohio                    44.21    48.51     7.28
Pennsylvania            50.13    32.01    17.86
Rhode Island            33.70    57.85     8.45
South Carolina           0.00     0.00   100.00
U. S.                   45.29    33.09    21.62
Tennessee               52.18     0.00    47.82
Texas                   66.59     0.00    33.41
Vermont                 20.84    77.96     1.20
Virginia                59.96     0.00    40.04
Wisconsin               44.22    55.30     0.48
Alabama                 15.10     0.00    84.90
Arkansas                 9.90     0.00    90.10
California              31.70    32.30    36.00
Connecticut             21.50    53.86    24.64
Delaware                 6.60    23.70    69.70
Florida                  1.70     0.00    98.30
Georgia                 10.90     0.00    89.10
Illinois                47.20    50.70     2.10
Indiana                 42.40    51.10     6.50
Iowa                    43.20    54.60     2.20
Kentucky                17.50     0.90    81.60
Louisiana               15.10     0.00    84.90
Maine                   29.40    62.20     8.40
Maryland                 6.40     2.50    91.10
Massachusetts           20.30    62.90    16.80
Michigan                41.99    57.23     0.78
Minnesota               34.30    63.40     2.30
Mississippi              4.70     0.00    95.30
Missouri                35.50    10.30    54.20
New Hampshire           39.30    56.90     3.80
New Jersey               0.00    48.10    51.90
New York                 0.00    53.70    46.30
North Carolina           2.80     0.00    97.20
Ohio                    42.30    51.24     6.46
Oregon                  27.99    36.20    35.81
Pennsylvania             3.50    56.30    40.20
Rhode Island            38.60    61.40     0.00
South Carolina           0.00     0.00   100.00
U. S.                   21.50    39.65    38.85
Tennessee                7.70     0.00    92.30
Texas                    0.03     0.00    99.97
Vermont                 19.41    75.86     4.73
Virginia                 9.70     1.10    89.20
Wisconsin               42.73    56.59     0.68
California              41.40    58.60     0.00
Connecticut             48.60    51.40     0.00
Delaware                51.80    48.20     0.00
Illinois                45.60    54.40     0.00
Indiana                 46.50    53.50     0.00
Iowa                    36.90    63.10     0.00
Kansas                  18.30    81.70     0.00
Kentucky                69.80    30.20     0.00
Louisiana                0.00     0.00   100.00
Maine                   40.90    59.10     0.00
Maryland                44.90    55.10     0.00
Massachusetts           27.80    72.20     0.00
Michigan                44.90    55.10     0.00
Minnesota               41.00    59.00     0.00
Missouri                30.30    69.70     0.00
Nevada                  40.20    59.80     0.00
New Hampshire           47.40    52.60     0.00
New Jersey              52.80    47.20     0.00
New York                49.50    50.50     0.00
Ohio                    43.60    56.40     0.00
Oregon                  46.10    53.90     0.00
Pennsylvania            48.40    51.60     0.00
Rhode Island            37.80    62.20     0.00
U. S.                   45.00    55.00     0.00
Tennessee                0.00     0.00   100.00
Vermont                 23.90    76.10     0.00
West Virginia           31.80    68.20     0.00
Wisconsin               44.10    55.90     0.00
Alabama                 46.81    51.25     1.94
Arkansas                46.32    53.68     0.00
California              49.76    50.24     0.00
Connecticut             48.51    51.49     0.00
Delaware                59.00    41.00     0.00
Florida                  0.00     0.00   100.00
Georgia                 64.27    35.73     0.00
Illinois                44.31    55.69     0.00
Indiana                 48.61    51.39     0.00
Iowa                    38.08    61.92     0.00
Kansas                  31.17    68.82     0.01
Kentucky                74.55    25.45     0.00
Louisiana               70.69    29.31     0.00
Maine                   37.59    62.41     0.00
Maryland                67.20    32.80     0.00
Massachusetts           30.23    69.76     0.01
Michigan                43.02    56.98     0.00
Minnesota               39.12    60.88     0.00
Missouri                43.04    56.96     0.00
Nebraska                36.09    63.91     0.00
Nevada                  44.61    55.39     0.00
New Hampshire           44.76    55.22     0.02
New Jersey              50.88    49.12     0.00
New York                50.59    49.41     0.00
North Carolina          46.59    53.41     0.00
Ohio                    46.00    54.00     0.00
Oregon                  50.37    49.63     0.00
Pennsylvania            47.80    52.20     0.00
Rhode Island            33.51    66.49     0.00
South Carolina          42.07    57.93     0.00
U. S.                   47.30    52.70     0.00
Tennessee               31.57    68.43     0.00
Vermont                 21.43    78.57     0.00
West Virginia           41.17    58.83     0.00
Wisconsin               43.75    56.25     0.00
Alabama                 46.81    53.19     0.00
Arkansas                47.83    52.17     0.00
California              42.51    56.38     1.11
Connecticut             47.59    52.41     0.00
Delaware                46.76    51.00     2.24
Florida                 46.48    53.52     0.00
Georgia                 54.97    45.03     0.00
Illinois                43.00    56.27     0.73
Indiana                 46.59    53.00     0.41
Iowa                    37.73    60.81     1.46
Kansas                  32.80    66.46     0.74
Kentucky                52.32    46.44     1.24
Louisiana               44.31    55.69     0.00
Maine                   32.14    67.86     0.00
Maryland                50.34    49.66     0.00
Massachusetts           30.69    69.20     0.11
Michigan                35.47    62.66     1.87
Minnesota               38.73    61.27     0.00
Mississippi             36.52    63.48     0.00
Missouri                55.46    43.65     0.89
Nebraska                29.32    70.68     0.00
Nevada                  42.57    57.43     0.00
New Hampshire           45.61    53.94     0.45
New Jersey              45.48    54.52     0.00
New York                46.77    53.23     0.00
North Carolina          42.46    57.38     0.16
Ohio                    46.15    53.24     0.61
Oregon                  38.43    58.66     2.91
Pennsylvania            37.65    62.07     0.28
Rhode Island            28.06    71.94     0.00
South Carolina          23.78    75.73     0.49
U. S.                   43.78    55.58     0.64
Tennessee               52.16    47.84     0.00
Texas                   57.07    40.71     2.22
Vermont                 20.62    78.29     1.09
Virginia                49.49    50.47     0.04
West Virginia           47.28    51.74     0.98
Wisconsin               44.97    54.60     0.43
Alabama                 59.98    40.02     0.00
Arkansas                59.92    39.87     0.21
California              49.08    50.88     0.04
Colorado                 0.00     0.00   100.00
Connecticut             50.70    48.33     0.97
Delaware                55.45    44.55     0.00
Florida                 49.01    50.99     0.00
Georgia                 72.03    27.97     0.00
Illinois                46.66    50.20     3.14
Indiana                 48.65    47.39     3.96
Iowa                    38.28    58.50     3.22
Kansas                  30.53    63.10     6.37
Kentucky                61.41    37.44     1.15
Louisiana               48.35    51.65     0.00
Maine                   42.65    56.64     0.71
Maryland                56.05    43.95     0.00
Massachusetts           41.90    57.80     0.30
Michigan                44.49    52.41     3.10
Minnesota               39.16    58.80     2.04
Mississippi             68.08    31.92     0.00
Missouri                57.64    41.36     1.00
Nebraska                35.30    64.70     0.00
Nevada                  47.27    52.73     0.00
New Hampshire           48.05    51.83     0.12
New Jersey              52.66    47.01     0.33
New York                51.40    48.17     0.43
North Carolina          53.62    46.38     0.00
Ohio                    49.07    50.21     0.72
Oregon                  47.38    50.92     1.70
Pennsylvania            48.25    50.62     1.13
Rhode Island            40.23    59.29     0.48
South Carolina          49.76    50.24     0.00
U. S.                   50.92    47.92     1.16
Tennessee               59.79    40.21     0.00
Texas                   70.04    29.96     0.00
Vermont                 31.38    68.30     0.32
Virginia                59.58    40.42     0.00
West Virginia           56.75    42.15     1.10
Wisconsin               48.19    50.57     1.24
Alabama                 59.97    36.98     3.05
Arkansas                56.65    39.55     3.80
California              48.98    48.92     2.10
Colorado                46.03    51.26     2.71
Connecticut             48.52    50.52     0.96
Delaware                51.73    47.86     0.41
Florida                 54.17    45.83     0.00
Georgia                 65.05    34.33     0.62
Illinois                44.56    51.11     4.33
Indiana                 47.91    49.33     2.76
Iowa                    32.72    56.85    10.43
Kansas                  29.72    60.40     9.88
Kentucky                55.80    39.80     4.40
Louisiana               62.48    37.10     0.42
Maine                   45.28    51.45     3.27
Maryland                54.15    45.37     0.48
Massachusetts           39.65    58.50     1.85
Michigan                37.30    52.54    10.16
Minnesota               35.36    62.28     2.36
Mississippi             65.08    29.94     4.98
Missouri                52.51    38.65     8.84
Nebraska                32.62    62.87     4.51
Nevada                  52.40    47.60     0.00
New Hampshire           47.24    51.94     0.82
New Jersey              49.84    49.02     1.14
New York                48.42    50.32     1.26
North Carolina          51.49    48.04     0.47
Ohio                    47.01    51.73     1.26
Oregon                  48.89    50.51     0.60
Pennsylvania            46.57    50.84     2.59
Rhode Island            36.87    62.24     0.89
South Carolina          65.70    33.97     0.33
U. S.                   48.21    48.32     3.47
Tennessee               53.01    44.53     2.46
Texas                   64.71    23.95    11.34
Vermont                 28.09    69.88     2.03
Virginia                60.53    39.47     0.00
West Virginia           50.92    41.03     8.05
Wisconsin               42.91    54.04     3.05
Alabama                 60.37    38.69     0.94
Arkansas                57.83    40.70     1.47
California              45.33    51.97     2.70
Colorado                41.68    54.25     4.07
Connecticut             48.95    48.01     3.04
Delaware                56.55    43.20     0.25
Florida                 52.96    46.73     0.31
Georgia                 65.92    33.84     0.24
Illinois                46.43    50.17     3.40
Indiana                 49.46    48.15     2.39
Iowa                    47.01    52.25     0.74
Kansas                  33.90    58.08     8.02
Kentucky                55.32    42.93     1.75
Louisiana               57.22    42.37     0.41
Maine                   39.97    55.34     4.69
Maryland                52.07    46.10     1.83
Massachusetts           40.33    48.36    11.31
Michigan                47.20    48.02     4.78
Minnesota               36.87    58.78     4.35
Mississippi             64.34    35.66     0.00
Missouri                53.49    46.02     0.49
Nebraska                40.53    57.31     2.16
Nevada                  43.59    56.21     0.20
New Hampshire           46.34    51.14     2.52
New Jersey              48.98    47.31     3.71
New York                48.25    48.15     3.60
North Carolina          53.25    46.59     0.16
Ohio                    46.94    50.99     2.07
Oregon                  46.70    50.99     2.31
Pennsylvania            43.46    52.97     3.57
Rhode Island            37.81    58.07     4.12
South Carolina          75.25    23.41     1.34
U. S.                   48.85    48.28     2.87
Tennessee               51.45    47.74     0.81
Texas                   69.26    28.63     2.11
Vermont                 29.18    66.52     4.30
Virginia                51.05    48.90     0.05
West Virginia           50.94    47.75     1.31
Wisconsin               45.79    50.38     3.83
Alabama                 67.00    32.66     0.34
Arkansas                54.80    38.04     7.16
California              46.84    49.66     3.50
Colorado                40.84    55.22     3.94
Connecticut             48.66    48.44     2.90
Delaware                55.15    43.51     1.34
Florida                 59.48    39.89     0.63
Georgia                 70.31    28.33     1.36
Illinois                46.58    49.54     3.88
Indiana                 48.61    49.05     2.34
Iowa                    44.51    52.36     3.13
Kansas                  31.03    55.23    13.74
Kentucky                53.30    44.98     1.72
Louisiana               73.37    26.46     0.17
Maine                   39.35    57.49     3.16
Maryland                50.34    47.40     2.26
Massachusetts           44.04    53.42     2.54
Michigan                44.91    49.73     5.36
Minnesota               39.65    54.12     6.23
Mississippi             73.80    25.99     0.21
Missouri                50.24    45.31     4.45
Nebraska                39.75    53.51     6.74
Nevada                  41.94    57.73     0.33
New Hampshire           47.84    50.34     1.82
New Jersey              49.87    47.52     2.61
New York                48.19    49.28     2.53
North Carolina          51.79    47.20     1.01
Ohio                    47.18    49.51     3.31
Oregon                  42.88    53.82     3.30
Pennsylvania            44.77    52.74     2.49
Rhode Island            42.99    53.88     3.13
South Carolina          82.28    17.17     0.55
U. S.                   48.63    47.80     3.57
Tennessee               52.26    45.76     1.98
Texas                   65.70    24.73     9.57
Vermont                 25.65    69.05     5.30
Virginia                49.99    49.46     0.55
West Virginia           49.35    49.03     1.62
Wisconsin               43.77    49.79     6.44
Alabama                 59.40     3.95    36.65
Arkansas                59.30    31.78     8.92
California              43.83    43.78    12.39
Colorado                 0.00    41.13    58.87
Connecticut             50.06    46.80     3.14
Delaware                49.90    48.55     1.55
Florida                 85.01     0.00    14.99
Georgia                 58.01    21.70    20.29
Idaho                    0.00    44.31    55.69
Illinois                48.79    45.70     5.51
Indiana                 47.46    46.17     6.37
Iowa                    44.31    49.60     6.09
Kansas                   0.00    48.40    51.60
Kentucky                51.48    39.74     8.78
Louisiana               76.53    23.47     0.00
Maine                   41.26    54.05     4.69
Maryland                53.39    43.48     3.13
Massachusetts           45.22    51.87     2.91
Michigan                43.26    47.79     8.95
Minnesota               37.76    45.96    16.28
Mississippi             76.22     2.66    21.12
Missouri                49.56    42.03     8.41
Montana                 39.79    42.44    17.77
Nebraska                12.46    43.56    43.98
Nevada                   6.56    25.84    67.60
New Hampshire           47.11    51.11     1.78
New Jersey              50.67    46.24     3.09
New York                48.99    45.58     5.43
North Carolina          47.44    35.80    16.76
North Dakota             0.00    48.50    51.50
Ohio                    47.53    47.66     4.81
Oregon                  18.15    44.59    37.26
Pennsylvania            45.09    51.45     3.46
Rhode Island            45.75    50.71     3.54
South Carolina          77.56    18.93     3.51
South Dakota            12.88    49.48    37.64
U. S.                   46.02    43.01    10.97
Tennessee               51.36    37.83    10.81
Texas                   56.65    19.22    24.13
Vermont                 29.26    68.09     2.65
Virginia                56.17    38.70     5.13
Washington              33.88    41.45    24.67
West Virginia           49.37    46.93     3.70
Wisconsin               47.72    46.05     6.23
Wyoming                  0.00    50.52    49.48
Alabama                 66.96    28.61     4.43
Arkansas                73.72    25.12     1.16
California              48.51    49.16     2.33
Colorado                84.95    13.86     1.19
Connecticut             32.54    63.24     4.22
Delaware                43.10    53.18     3.72
Florida                 70.46    24.30     5.24
Georgia                 57.78    36.56     5.66
Idaho                   78.10    21.32     0.58
Illinois                42.68    55.66     1.66
Indiana                 47.96    50.82     1.22
Iowa                    42.90    55.47     1.63
Kansas                  51.32    47.63     1.05
Kentucky                48.86    48.93     2.21
Louisiana               76.38    21.81     1.81
Maine                   29.21    67.90     2.89
Maryland                41.62    54.73     3.65
Massachusetts           26.32    69.47     4.21
Michigan                43.47    53.77     2.76
Minnesota               40.89    56.62     2.49
Mississippi             91.04     6.92     2.04
Missouri                53.96    45.25     0.79
Montana                 79.93    19.71     0.36
Nebraska                51.53    46.18     2.29
Nevada                  81.21    18.79     0.00
New Hampshire           25.88    68.66     5.46
New Jersey              36.02    59.68     4.30
New York                38.72    57.58     3.70
North Carolina          52.64    46.82     0.54
North Dakota            43.65    55.57     0.78
Ohio                    47.08    51.86     1.06
Oregon                  47.98    50.07     1.95
Pennsylvania            36.27    60.98     2.75
Rhode Island            26.39    68.33     5.28
South Carolina          85.30    13.51     1.19
South Dakota            49.70    49.48     0.82
U. S.                   46.71    51.02     2.27
Tennessee               52.09    46.33     1.58
Texas                   68.00    30.75     1.25
Utah                    82.70    17.27     0.03
Vermont                 16.66    80.08     3.26
Virginia                52.50    45.94     1.56
Washington              56.97    41.84     1.19
West Virginia           46.83    52.23     0.94
Wisconsin               37.00    59.93     3.07
Wyoming                 51.49    47.75     0.76
Alabama                 60.82    34.82     4.36
Arkansas                63.46    35.04     1.50
California              41.34    54.50     4.16
Colorado                55.43    42.04     2.53
Connecticut             41.07    56.92     2.01
Delaware                44.90    53.67     1.43
Florida                 71.31    18.55    10.14
Georgia                 66.86    28.22     4.92
Idaho                   50.79    46.96     2.25
Illinois                44.44    52.83     2.73
Indiana                 46.62    50.60     2.78
Iowa                    39.46    58.04     2.50
Kansas                  45.96    52.56     1.48
Kentucky                50.21    48.51     1.28
Louisiana               79.03    20.96     0.01
Maine                   34.84    61.89     3.27
Maryland                46.23    51.50     2.27
Massachusetts           37.85    57.59     4.56
Michigan                38.89    58.10     3.01
Minnesota               35.69    60.21     4.10
Mississippi             87.56     9.66     2.78
Missouri                51.48    45.94     2.58
Montana                 58.43    39.79     1.78
Nebraska                47.22    50.46     2.32
Nevada                  62.25    37.75     0.00
New Hampshire           38.42    59.33     2.25
New Jersey              41.09    55.28     3.63
New York                43.83    53.10     3.07
North Carolina          53.92    45.47     0.61
North Dakota            35.53    62.12     2.35
Ohio                    45.66    52.30     2.04
Oregon                  39.41    55.46     5.13
Pennsylvania            36.16    60.74     3.10
Rhode Island            35.04    59.74     5.22
South Carolina          92.96     7.04     0.00
South Dakota            41.14    56.73     2.13
U. S.                   45.52    51.64     2.84
Tennessee               53.03    44.95     2.02
Texas                   63.12    30.83     6.05
Utah                    48.30    50.58     1.12
Vermont                 22.86    75.73     1.41
Virginia                55.29    43.82     0.89
Washington              41.70    53.44     4.86
West Virginia           44.75    54.27     0.98
Wisconsin               35.97    60.06     3.97
Wyoming                 41.17    58.66     0.17
Alabama                 73.35    20.66     5.99
Arkansas                55.35    40.25     4.40
California              26.94    61.84    11.22
Colorado                41.08    55.26     3.66
Connecticut             38.15    58.12     3.73
Delaware                44.11    54.05     1.84
Florida                 68.33    21.48    10.19
Georgia                 63.72    18.33    17.95
Idaho                   25.46    65.84     8.70
Illinois                30.43    58.77    10.80
Indiana                 40.22    53.99     5.79
Iowa                    30.71    63.39     5.90
Kansas                  26.23    64.81     8.96
Kentucky                49.82    47.13     3.05
Louisiana               88.50     9.66     1.84
Maine                   28.49    67.44     4.07
Maryland                48.81    48.83     2.36
Massachusetts           37.24    57.92     4.84
Michigan                25.79    69.51     4.70
Minnesota               18.84    73.98     7.18
Mississippi             91.07     5.59     3.34
Missouri                46.02    49.93     4.05
Montana                 33.79    54.21    12.00
Nebraska                23.44    61.38    15.18
Nevada                  32.87    56.66    10.47
New Hampshire           37.79    60.07     2.14
New Jersey              38.05    56.68     5.27
New York                42.28    53.13     4.59
North Carolina          59.71    39.67     0.62
North Dakota            20.39    75.12     4.49
Ohio                    34.32    59.75     5.93
Oregon                  19.43    67.06    13.51
Pennsylvania            27.33    68.00     4.67
Rhode Island            36.18    60.60     3.22
South Carolina          95.36     4.63     0.01
South Dakota            21.67    71.09     7.24
U. S.                   37.59    56.42     5.99
Tennessee               54.23    43.40     2.37
Texas                   71.45    21.90     6.65
Utah                    32.86    61.42     5.72
Vermont                 18.84    77.97     3.19
Virginia                61.84    36.95     1.21
Washington              19.36    69.95    10.69
West Virginia           42.03    55.26     2.71
Wisconsin               28.01    63.21     8.78
Wyoming                 29.08    66.72     4.20
Alabama                 70.75    24.31     4.94
Arkansas                57.31    37.30     5.39
California              32.98    55.46    11.56
Colorado                48.00    46.88     5.12
Connecticut             35.92    59.43     4.65
Delaware                45.94    52.10     1.96
Florida                 63.01    21.58    15.41
Georgia                 54.60    31.21    14.19
Idaho                   37.17    54.09     8.74
Illinois                39.02    54.53     6.45
Indiana                 46.91    48.40     4.69
Iowa                    40.58    55.62     3.80
Kansas                  42.88    52.46     4.66
Kentucky                49.74    48.03     2.23
Louisiana               84.63    11.93     3.44
Maine                   33.29    63.00     3.71
Maryland                48.59    48.85     2.56
Massachusetts           34.04    58.21     7.75
Michigan                32.44    61.93     5.63
Minnesota               33.02    59.11     7.87
Mississippi             90.11     6.52     3.37
Missouri                48.41    48.50     3.09
Montana                 42.61    46.98    10.41
Nebraska                49.14    47.60     3.26
Nevada                  45.71    43.93    10.36
New Hampshire           37.56    59.32     3.12
New Jersey              39.07    56.80     4.13
New York                40.74    53.11     6.15
North Carolina          54.22    45.49     0.29
North Dakota            34.79    61.02     4.19
Ohio                    44.82    51.03     4.15
Oklahoma                48.22    43.03     8.75
Oregon                  34.31    56.39     9.30
Pennsylvania            35.41    58.84     5.75
Rhode Island            34.16    60.76     5.08
South Carolina          93.84     5.94     0.22
South Dakota            35.08    58.84     6.08
U. S.                   43.04    51.57     5.39
Tennessee               52.73    45.87     1.40
Texas                   73.97    22.35     3.68
Utah                    39.22    56.19     4.59
Vermont                 21.82    75.08     3.10
Virginia                60.52    38.36     1.12
Washington              31.92    57.68    10.40
West Virginia           43.17    53.42     3.41
Wisconsin               36.67    54.52     8.81
Wyoming                 39.67    55.43     4.90
Alabama                 69.89     8.31    21.80
Arizona                 43.52    12.74    43.74
Arkansas                55.01    20.45    24.54
California              41.81     0.58    57.61
Colorado                42.80    21.88    35.32
Connecticut             39.16    35.88    24.96
Delaware                46.48    32.85    20.67
Florida                 69.52     8.42    22.06
Georgia                 76.63     4.27    19.10
Idaho                   32.08    31.02    36.90
Illinois                35.34    22.13    42.53
Indiana                 43.07    23.11    33.82
Iowa                    37.64    24.33    38.03
Kansas                  39.30    20.47    40.23
Kentucky                48.48    25.52    26.00
Louisiana               76.81     4.84    18.35
Maine                   39.43    20.48    40.09
Maryland                48.57    23.69    27.74
Massachusetts           35.53    31.95    32.52
Michigan                27.36    27.63    45.01
Minnesota               31.84    19.25    48.91
Mississippi             88.90     2.42     8.68
Missouri                47.35    29.75    22.90
Montana                 35.00    23.19    41.81
Nebraska                43.69    21.74    34.57
Nevada                  39.70    15.89    44.41
New Hampshire           39.48    37.43    23.09
New Jersey              41.20    20.53    38.27
New Mexico              41.39    35.91    22.70
New York                41.27    28.68    30.05
North Carolina          59.24    11.95    28.81
North Dakota            34.14    26.67    39.19
Ohio                    40.96    26.82    32.22
Oklahoma                46.95    35.77    17.28
Oregon                  34.34    25.30    40.36
Pennsylvania            32.49    22.45    45.06
Rhode Island            39.04    35.56    25.40
South Carolina          95.94     1.06     3.00
South Dakota            42.07     0.00    57.93
U. S.                   41.84    23.17    34.99
Tennessee               52.80    24.00    23.20
