James Buchanan	Democratic														
John C. Fremont	Republican														
Millard Fillmore	American														
Margin														
State Total														
Alabama	9	46739	62.08	9	0	0	0	28552	37.92	-0	18187	24.16	75291	AL
Arkansas	4	21910	67.12	4	0	0	0	10732	32.88	-0	11178	34.24	32642	AR
California	4	53342	48.38	4	20704	18.78	-0	36195	32.83	-0	17147	15.55	110255	CA
Connecticut	6	34997	43.57	-0	42717	53.18	6	2615	3.26	-0	-7720	-9.61	80329	CT
Delaware	3	8004	54.83	3	310	2.12	-0	6275	42.99	-0	1729	11.84	14589	DE
Florida	3	6358	56.81	3	0	0	0	4833	43.19	-0	1525	13.62	11191	FL
Georgia	10	56581	57.14	10	0	0	0	42439	42.86	-0	14142	14.28	99020	GA
Illinois	11	105528	44.09	11	96275	40.23	-0	37531	15.68	-0	9253	3.86	239334	IL
Indiana	13	118670	50.41	13	94375	40.09	-0	22386	9.51	-0	24295	10.32	235431	IN
Iowa	4	37568	40.7	-0	45073	48.83	4	9669	10.47	-0	7505	-8.13	92310	IA
Kentucky	12	74642	52.54	12	0	0	0	67416	47.46	-0	7226	5.08	142058	KY
Louisiana	6	22164	51.7	6	0	0	0	20709	48.3	-0	1455	3.4	42873	LA
Maine	8	39140	35.68	-0	67279	61.34	8	3270	2.98	-0	-28139	-25.66	109689	ME
Maryland	8	39123	45.04	-0	285	0.33	-0	47452	54.63	8	-8329	-9.59	86860	MD
Massachusetts	13	39244	23.08	-0	108172	63.61	13	19626	11.54	-0	-68928	-40.53	170048	MA
Michigan	6	52139	41.52	-0	71762	57.15	6	1660	1.32	-0	-19623	-15.63	125561	MI
Mississippi	7	35456	59.44	7	0	0	0	24191	40.56	-0	11265	18.88	59647	MS
Missouri	9	57964	54.43	9	0	0	0	48522	45.57	-0	9442	8.86	106486	MO
New Hampshire	5	31891	45.71	-0	37473	53.71	5	410	0.59	-0	-5582	-8	69774	NH
New Jersey	7	46943	47.23	7	28338	28.51	-0	24115	24.26	-0	22828	18.72	99396	NJ
New York	35	195878	32.84	-0	276004	46.27	35	124604	20.89	-0	-80126	-13.43	596486	NY
North Carolina	10	48243	56.78	10	0	0	0	36720	43.22	-0	11523	13.56	84963	NC
Ohio	23	170874	44.21	-0	187497	48.51	23	28126	7.28	-0	-16623	-4.3	386497	OH
Pennsylvania	27	230686	50.13	27	147286	32.01	-0	82189	17.86	-0	83400	18.12	460161	PA
Rhode Island	4	6680	33.7	-0	11467	57.85	4	1675	8.45	-0	-4787	-24.15	19822	RI
South Carolina	8	0	0	8	0	0	-0	0	-0	-0	0	0	0	SC
Tennessee	12	69704	52.18	12	0	0	0	63878	47.82	-0	5826	4.36	133582	TN
Texas	4	31169	66.59	4	0	0	0	15639	33.41	-0	15530	33.18	46808	TX
Vermont	5	10577	20.84	-0	39561	77.96	5	545	1.07	-0	-28984	-57.12	50748	VT
Virginia	15	90083	59.96	15	0	0	0	60150	40.04	-0	29933	19.92	150223	VA
Wisconsin	5	52843	44.22	-0	66090	55.3	5	579	0.48	-0	-13247	-11.08	119512	WI
TOTALS:	296	1835140	45.29	174	1340668	33.09	114	872703	21.54	8	494472	12.2	4051605	US
