Abraham Lincoln	Republican
Stephen Douglas	Democratic
John Breckinridge	(Southern) Democratic
John Bell	Constitutional Union
Fusion	(Non-Republican)(Democratic Fusion)
Margin
State Total
Alabama	9	0	0	0	13618	15.1	-0	48669	54	9	27835	30.9	-0	0	0	0	-20834	-23.1	90122	AL			
Arkansas	4	0	0	0	5357	9.9	-0	28732	53.1	4	20063	37	-0	0	0	0	-28732	-16.1	54152	AR			
California	4	38733	32.3	4	37999	31.7	-0	33969	28.4	-0	9111	7.6	-0	0	0	0	734	0.6	119827	CA			
Connecticut	6	43486	53.86	6	17364	21.5	-0	16558	20.51	-0	3337	4.13	-0	0	0	0	28057	37.5	80745	CT			
Delaware	3	3822	23.7	-0	1066	6.6	-0	7339	45.5	3	3888	24.1	-0	0	0	0	-3451	-21.4	16115	DE			
Florida	3	0	0	0	223	1.7	-0	8277	62.2	3	4801	36.1	-0	0	0	0	-3476	-26.1	13301	FL			
Georgia	10	0	0	0	11581	10.9	-0	52176	48.9	10	42960	40.3	-0	0	0	0	-9216	-8.6	106717	GA			
Illinois	11	172171	50.7	11	160215	47.2	-0	2331	0.7	-0	4914	1.4	-0	0	0	0	11956	3.5	339666	IL			
Indiana	13	139033	51.1	13	115509	42.4	-0	12295	4.5	-0	5306	1.9	-0	0	0	0	23524	8.7	272143	IN			
Iowa	4	70302	54.6	4	55639	43.2	-0	1035	0.8	-0	1763	1.4	-0	0	0	0	14663	13.4	128739	IA			
Kentucky	12	1364	0.9	-0	25651	17.5	-0	53143	36.3	-0	66058	45.2	12	0	0	0	12915	-8.9	146216	KY			
Louisiana	6	0	0	0	7625	15.1	-0	22681	44.9	6	20204	40	-0	0	0	0	-2477	-4.9	50510	LA			
Maine	8	62811	62.2	8	29693	29.4	-0	6368	6.3	-0	2046	2	-0	0	0	0	33118	32.8	100918	ME			
Maryland	8	2294	2.5	-0	5966	6.4	-0	42482	45.9	8	41760	45.1	-0	0	0	0	-722	-0.8	92502	MD			
Massachusetts	13	106684	62.9	13	34370	20.3	-0	6163	3.6	-0	22331	13.2	-0	0	0	0	72314	42.6	169876	MA			
Michigan	6	88450	57.23	6	64889	41.99	-0	805	0.52	-0	405	0.26	-0	0	0	0	23561	15.25	154549	MI			
Minnesota	4	22069	63.4	4	11920	34.3	-0	748	2.2	-0	50	0.1	-0	0	0	0	10149	29.1	34787	MN			
Mississippi	7	0	0	0	3282	4.7	-0	40768	59	7	25045	36.2	-0	0	0	0	-15723	-22.8	69095	MS			
Missouri	9	17028	10.3	-0	58801	35.5	9	31362	18.9	-0	58372	35.3	-0	0	0	0	-429	-0.2	165563	MO			
New Hampshire	5	37519	56.9	5	25887	39.3	-0	2125	3.2	-0	412	0.6	-0	0	0	0	-11632	20.6	65943	NH			
New Jersey	7	58346	48.1	4	0	0	0	3	0	0	0	-0	-0	62869	51.9	-0	-4523	-3.8	121215	NJ
New York	35	362646	53.7	35	0	0	0	-0	0	0	0	-0	-0	312510	46.3	-	50136	7.4	675156	NY
North Carolina	10	0	0	0	2737	2.8	-0	48846	50.5	10	45129	46.7	-0	0	0	0	-3717	-3.8	96712	NC			
Ohio	23	221809	51.24	23	187421	42.3	-0	11303	2.61	-0	12193	2.82	-0	0	0	0	34388	7.94	432862	OH			
Oregon	3	5344	36.2	3	4131	27.99	-0	5074	34.37	-0	212	1.44	-0	0	0	0	270	1.83	14761	OR			
Pennsylvania	27	268030	56.3	27	16765	3.5	-0	0	0	0	12776	2.7	-0	178871	37.5	-	89159	18.8	476442	PA			
Rhode Island	4	12244	61.4	4	7707	38.6	-0	0	0	0	0	0	0	0	0	0	4537	22.8	19951	RI			
South Carolina	8	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	-0	-0	-0	SC			
Tennessee	12	0	0	0	11281	7.7	-0	65097	44.6	-0	69728	47.7	12	0	0	0	-4631	-3.1	146106	TN			
Texas	4	0	0	0	18	0.03	-0	47454	75.47	4	15383	24.5	-0	0	0	0	-32110	-50.97	63004	TX			
Vermont	5	33808	75.86	5	8649	19.41	-0	1866	4.19	-0	217	0.49	-0	0	0	0	25159	56.45	44566	VT			
Virginia	15	1887	1.1	-0	16198	9.7	-0	74325	44.5	-0	74481	44.6	15	0	0	0	-156	-0.1	166891	VA			
Wisconsin	5	86113	56.59	5	65021	42.73	-0	887	0.58	-0	161	0.11	-0	0	0	0	21092	13.86	152179	WI			
TOTALS:	303	1855993	39.65	180	1006583	21.5	12	673701	14.39	72	590268	12.61	39	554250	11.84	0			4681335	US			
