Abraham Lincoln	Republican
George B. McClellan	Democratic
Margin
State Total
California	5	62,053	58.6	5	43,837	41.4	–	18,216	17.2	105,890
Connecticut	6	44,673	51.4	6	42,285	48.6	–	2,388	2.8	86,958
Delaware	3	8,155	48.2	–	8,767	51.8	3	-612	-3.6	16,922
Illinois	16	189,512	54.4	16	158,724	45.6	–	30,788	8.8	348,236
Indiana	13	149,887	53.5	13	130,230	46.5	–	19,657	7.0	280,117
Iowa	8	83,858	63.1	8	49,089	36.9	–	34,769	26.2	132,947
Kansas	3	17,089	81.7	3	3,836	18.3	–	13,253	63.4	21,580
Kentucky	11	27,787	30.2	–	64,301	69.8	11	-36,514	-39.6	92,088
Louisiana	7	0	0	7	0	0	–	N/A	0	0
Maine	7	67,805	59.1	7	46,992	40.9	–	20,813	18.2	114,797
Maryland	7	40,153	55.1	7	32,739	44.9	–	7,414	10.2	72,892
Massachusetts	12	126,742	72.2	12	48,745	27.8	–	77,997	44.4	175,487
Michigan	8	91,133	55.1	8	74,146	44.9	–	16,987	10.2	165,279
Minnesota	4	25,031	59.0	4	17,376	41.0	–	7,655	18.0	42,407
Missouri	11	72,750	69.7	11	31,596	30.3	–	41,154	39.4	104,346
Nevada	2	9,826	59.8	2	6,594	40.2	–	3,232	19.6	16,420
New Hampshire	5	36,596	52.6	5	33,034	47.4	–	3,562	5.2	69,630
New Jersey	7	60,724	47.2	–	68,020	52.8	7	-7,296	-5.6	128,744
New York	33	368,735	50.5	33	361,986	49.5	–	6,749	1.0	730,721
Ohio	21	265,674	56.4	21	205,609	43.6	–	60,065	6.8	471,283
Oregon	3	9,888	53.9	3	8,457	46.1	–	1,431	7.8	18,345
Pennsylvania	26	296,292	51.6	26	277,443	48.4	–	18,849	2.8	573,735
Rhode Island	4	14,349	62.2	4	8,718	37.8	–	5,631	24.4	23,067
Tennessee	10	0	0	10	0	0	–	N/A	0	0
Vermont	5	42,419	76.1	5	13,321	23.9	–	29,098	52.2	55,750
West Virginia	5	23,799	68.2	5	11,078	31.8	–	12,721	36.4	34,877
Wisconsin	8	83,458	55.9	8	65,884	44.1	–	17,574	11.8	149,342
TOTALS:	233	2,218,388	55	212	1,812,807	45	21			4,031,887
