Ulysses S. Grant	Republican
Horatio Seymour	Democratic
Margin
State Total
Alabama 	8 	76,667 	51.25 	8 	72,921 	46.81 	- 	3,746 	2.50 	149,594 	AL
Arkansas 	5 	22,112 	53.68 	5 	19,078 	46.32 	- 	3,034 	7.37 	41,190 	AR
California 	5 	54,588 	50.24 	5 	54,068 	49.76 	- 	520 	0.48 	108,656 	CA
Connecticut 	6 	50,788 	51.49 	6 	47,844 	48.51 	- 	2,944 	2.98 	98,632 	CT
Delaware 	3 	7,614 	41.00 	- 	10,957 	59.00 	3 	-3,343 	-18.00 	18,571 	DE
Florida 	3 	- 	- 	3 	- 	- 	- 	- 	- 	- 	FL
Georgia 	9 	57,109 	35.73 	- 	102,707 	64.27 	9 	-45,598 	-28.53 	159,816 	GA
Illinois 	16 	250,304 	55.69 	16 	199,116 	44.31 	- 	51,188 	11.39 	449,420 	IL
Indiana 	13 	176,552 	51.39 	13 	166,980 	48.61 	- 	9,572 	2.79 	343,532 	IN
Iowa 	8 	120,399 	61.92 	8 	74,040 	38.08 	- 	46,359 	23.84 	194,439 	IA
Kansas 	3 	30,027 	68.82 	3 	13,600 	31.17 	- 	16,427 	37.65 	43,630 	KS
Kentucky 	11 	39,566 	25.45 	- 	115,889 	74.55 	11 	-76,323 	-49.10 	155,455 	KY
Louisiana 	7 	33,263 	29.31 	- 	80,225 	70.69 	7 	-46,962 	-41.38 	113,488 	LA
Maine 	7 	70,502 	62.41 	7 	42,460 	37.59 	- 	28,042 	24.82 	112,962 	ME
Maryland 	7 	30,438 	32.80 	- 	62,357 	67.20 	7 	-31,919 	-34.40 	92,795 	MD
Massachusetts 	12 	136,379 	69.76 	12 	59,103 	30.23 	- 	77,276 	39.53 	195,508 	MA
Michigan 	8 	128,560 	56.98 	8 	97,060 	43.02 	- 	31,500 	13.96 	225,620 	MI
Minnesota 	4 	43,722 	60.88 	4 	28,096 	39.12 	- 	15,626 	21.76 	71,818 	MN
Missouri 	11 	86,860 	56.96 	11 	65,628 	43.04 	- 	21,232 	13.92 	152,488 	MO
Nebraska 	3 	9,772 	63.91 	3 	5,519 	36.09 	- 	4,253 	27.81 	15,291 	NE
Nevada 	3 	6,480 	55.39 	3 	5,218 	44.61 	- 	1,262 	10.79 	11,698 	NV
New Hampshire 	5 	37,718 	55.22 	5 	30,575 	44.76 	- 	7,143 	10.46 	68,304 	NH
New Jersey 	7 	80,131 	49.12 	- 	83,001 	50.88 	7 	-2,870 	-1.76 	163,132 	NJ
New York 	33 	419,888 	49.41 	- 	429,883 	50.59 	33 	-9,995 	-1.18 	849,771 	NY
North Carolina 	9 	96,939 	53.41 	9 	84,559 	46.59 	- 	12,380 	6.82 	181,498 	NC
Ohio 	21 	280,167 	54.00 	21 	238,621 	46.00 	- 	41,546 	8.01 	518,788 	OH
Oregon 	3 	10,961 	49.63 	- 	11,125 	50.37 	3 	-164 	-0.74 	22,086 	OR
Pennsylvania 	26 	342,280 	52.20 	26 	313,382 	47.80 	- 	28,898 	4.41 	655,662 	PA
Rhode Island 	4 	12,993 	66.49 	4 	6,548 	33.51 	- 	6,445 	32.98 	19,541 	RI
South Carolina 	6 	62,301 	57.93 	6 	45,237 	42.07 	- 	17,064 	15.87 	107,538 	SC
Tennessee 	10 	56,628 	68.43 	10 	26,129 	31.57 	- 	30,499 	36.85 	82,757 	TN
Vermont 	5 	44,167 	78.57 	5 	12,045 	21.43 	- 	32,122 	57.14 	56,212 	VT
West Virginia 	5 	29,015 	58.83 	5 	20,306 	41.17 	- 	8,709 	17.66 	49,321 	WV
Wisconsin 	8 	108,900 	56.25 	8 	84,703 	43.75 	- 	24,197 	12.50 	193,603 	WI
TOTALS: 	294 	3,013,790 	52.7 	214 	2,706,829 	47.3 	80 	304,810 	5.32 	5,722,440 	US 
