Samuel J. Tilden	Democratic
Rutherford B. Hayes	Republican
Peter Cooper	Greenback
Green Smith	Prohibition
Margin
State Total
Alabama 	10 	102,989 	59.98 	10 	68,708 	40.02 	– 	– 	– 	– 	– 	– 	– 	−34,281 	−19.97 	171,699 	AL
Arkansas 	6 	58,086 	59.92 	6 	38,649 	39.87 	– 	211 	0.22 	– 	– 	– 	– 	−19,437 	−20.05 	96,946 	AR
California 	6 	76,460 	49.08 	– 	79,258 	50.88 	6 	47 	0.03 	– 	– 	– 	– 	2,798 	1.80 	155,784 	CA
Colorado 	3 	– 	– 	– 	– 	– 	3 	– 	– 	– 	– 	– 	– 	– 	– 	– 	CO
Connecticut 	6 	61,927 	50.70 	6 	59,033 	48.33 	– 	774 	0.63 	– 	374 	0.31 	– 	−2,894 	−2.37 	122,134 	CT
Delaware 	3 	13,381 	55.45 	3 	10,752 	44.55 	– 	– 	– 	– 	– 	– 	– 	−2,629 	−10.89 	24,133 	DE
Florida 	4 	22,927 	49.01 	– 	23,849 	50.99 	4 	– 	– 	– 	– 	– 	– 	922 	1.97 	46,776 	FL
Georgia 	11 	130,157 	72.03 	11 	50,533 	27.97 	– 	– 	– 	– 	– 	– 	– 	−79,624 	−44.07 	180,690 	GA
Illinois 	21 	258,611 	46.66 	– 	278,232 	50.20 	21 	17,207 	3.10 	– 	– 	– 	– 	19,621 	3.54 	554,227 	IL
Indiana 	15 	213,526 	48.65 	15 	208,011 	47.39 	– 	17,233 	3.93 	– 	141 	0.03 	– 	−5,515 	−1.26 	438,911 	IN
Iowa 	11 	112,121 	38.28 	– 	171,326 	58.50 	11 	9,431 	3.22 	– 	– 	– 	– 	59,205 	20.21 	292,878 	IA
Kansas 	5 	37,902 	30.53 	– 	78,324 	63.10 	5 	7,770 	6.26 	– 	110 	0.09 	– 	40,422 	32.56 	124,134 	KS
Kentucky 	12 	160,060 	61.41 	12 	97,568 	37.44 	– 	– 	– 	– 	– 	– 	– 	−62,492 	−23.98 	260,626 	KY
Louisiana 	8 	70,508 	48.35 	– 	75,315 	51.65 	8 	– 	– 	– 	– 	– 	– 	4,807 	3.30 	145,823 	LA
Maine 	7 	49,917 	42.65 	– 	66,300 	56.64 	7 	– 	– 	– 	– 	– 	– 	16,383 	14.00 	117,045 	ME
Maryland 	8 	91,779 	56.05 	8 	71,980 	43.95 	– 	– 	– 	– 	– 	– 	– 	−19,799 	−12.09 	163,759 	MD
Massachusetts 	13 	108,777 	41.90 	– 	150,064 	57.80 	13 	– 	– 	– 	– 	– 	– 	41,287 	15.90 	259,620 	MA
Michigan 	11 	141,685 	44.49 	– 	166,901 	52.41 	11 	9,023 	2.83 	– 	766 	0.24 	– 	25,216 	7.92 	318,450 	MI
Minnesota 	5 	48,587 	39.16 	– 	72,955 	58.80 	5 	2,389 	1.93 	– 	144 	0.12 	– 	24,368 	19.64 	124,075 	MN
Mississippi 	8 	112,173 	68.08 	8 	52,603 	31.92 	– 	– 	– 	– 	– 	– 	– 	−59,570 	−36.15 	164,776 	MS
Missouri 	15 	202,086 	57.64 	15 	145,027 	41.36 	– 	3,497 	1.00 	– 	– 	– 	– 	−57,059 	−16.27 	350,610 	MO
Nebraska 	3 	17,413 	35.30 	– 	31,915 	64.70 	3 	– 	– 	– 	– 	– 	– 	14,502 	29.40 	49,328 	NE
Nevada 	3 	9,308 	47.27 	– 	10,383 	52.73 	3 	– 	– 	– 	– 	– 	– 	1,075 	5.46 	19,691 	NV
New Hampshire 	5 	38,510 	48.05 	– 	41,540 	51.83 	5 	– 	– 	– 	– 	– 	– 	3,030 	3.78 	80,141 	NH
New Jersey 	9 	115,962 	52.66 	9 	103,517 	47.01 	– 	714 	0.32 	– 	– 	– 	– 	−12,445 	−5.65 	220,193 	NJ
