James Garfield	Republican
Winfield Hancock	Democratic
James Weaver	Greenback
Neal Dow	Prohibition
John Phelps	Anti-Masonic
Margin
State Total
Alabama 	10 	56,221 	36.98 	– 	91,185 	59.97 	10 	4,642 	3.05 	– 	– 	– 	– 	– 	– 	– 	−34,964 	−22.99 	152,048 	AL
Arkansas 	6 	42,436 	39.55 	– 	60,775 	56.65 	6 	4,079 	3.80 	– 	– 	– 	– 	– 	– 	– 	−18,339 	−17.10 	107,290 	AR
California 	6 	80,348 	48.92 	1 	80,443 	48.98 	5 	3,395 	2.07 	– 	59 	0.04 	– 	– 	– 	– 	−95 	−0.06 	164,245 	CA
Colorado 	3 	27,450 	51.26 	3 	24,647 	46.03 	– 	1,435 	2.68 	– 	– 	– 	– 	– 	– 	– 	2,803 	5.23 	53,546 	CO
Connecticut 	6 	67,071 	50.52 	6 	64,415 	48.52 	– 	868 	0.65 	– 	409 	0.31 	– 	– 	– 	– 	2,656 	2.00 	132,802 	CT
Delaware 	3 	14,133 	47.86 	– 	15,275 	51.73 	3 	120 	0.41 	– 	– 	– 	– 	– 	– 	– 	−1,142 	−3.87 	29,528 	DE
Florida 	4 	23,654 	45.83 	– 	27,964 	54.17 	4 	– 	– 	– 	– 	– 	– 	– 	– 	– 	−4,310 	−8.35 	51,618 	FL
Georgia 	11 	54,086 	34.33 	– 	102,470 	65.05 	11 	– 	– 	– 	– 	– 	– 	– 	– 	– 	−48,384 	−30.72 	156,556 	GA
Illinois 	21 	318,037 	51.11 	21 	277,321 	44.56 	– 	26,358 	4.24 	– 	443 	0.07 	– 	153 	0.02 	– 	40,716 	6.54 	622,312 	IL
Indiana 	15 	232,164 	49.33 	15 	225,522 	47.91 	– 	12,986 	2.76 	– 	– 	– 	– 	– 	– 	– 	6,642 	1.41 	470,672 	IN
Iowa 	11 	183,927 	56.85 	11 	105,845 	32.72 	– 	32,701 	10.11 	– 	592 	0.18 	– 	433 	0.13 	– 	78,082 	24.13 	323,498 	IA
Kansas 	5 	121,549 	60.40 	5 	59,801 	29.72 	– 	19,851 	9.87 	– 	25 	0.01 	– 	– 	– 	– 	61,748 	30.68 	201,226 	KS
Kentucky 	12 	106,306 	39.80 	– 	149,068 	55.80 	12 	11,499 	4.30 	– 	258 	0.10 	– 	– 	– 	– 	−42,762 	−16.00 	267,104 	KY
Louisiana 	8 	38,637 	37.10 	– 	65,067 	62.48 	8 	439 	0.42 	– 	– 	– 	– 	– 	– 	– 	−26,430 	−25.38 	104,143 	LA
Maine 	7 	74,056 	51.45 	7 	65,171 	45.28 	– 	4,480 	3.11 	– 	93 	0.06 	– 	142 	0.10 	– 	8,841 	6.14 	143,903 	ME
Maryland 	8 	78,515 	45.37 	– 	93,706 	54.15 	8 	818 	0.47 	– 	– 	– 	– 	– 	– 	– 	−15,191 	−8.78 	173,039 	MD
Massachusetts 	13 	165,205 	58.50 	13 	111,690 	39.65 	– 	4,548 	1.61 	– 	682 	0.24 	– 	– 	– 	– 	53,515 	18.85 	282,125 	MA
Michigan 	11 	185,341 	52.54 	11 	131,597 	37.30 	– 	34,895 	9.89 	– 	942 	0.27 	– 	2 	0.00 	– 	53,744 	15.24 	352,777 	MI
Minnesota 	5 	93,903 	62.28 	5 	53,315 	35.36 	– 	3,267 	2.17 	– 	286 	0.19 	– 	– 	– 	– 	40,587 	26.92 	150,771 	MN
Mississippi 	8 	34,854 	29.94 	– 	75,750 	65.08 	8 	5,797 	4.98 	– 	– 	– 	– 	– 	– 	– 	−40,896 	−35.14 	116,0401 	MS
Missouri 	15 	153,567 	38.65 	– 	208,609 	52.51 	15 	35,135 	8.84 	– 	– 	– 	– 	– 	– 	– 	−55,042 	−13.86 	400,311 	MO
Nebraska 	3 	54,979 	62.87 	3 	28,523 	32.62 	– 	3,950 	4.52 	– 	– 	– 	– 	– 	– 	– 	26,456 	30.25 	87,452 	NE
Nevada 	3 	8,732 	47.60 	– 	9,613 	52.40 	3 	– 	– 	– 	– 	– 	– 	– 	– 	– 	−881 	−4.80 	18,345 	NV
New Hampshire 	5 	44,852 	51.94 	5 	40,794 	47.24 	– 	528 	0.61 	– 	180 	0.21 	– 	– 	– 	– 	4,058 	4.70 	86,354 	NH
New Jersey 	9 	120,555 	49.02 	– 	122,565 	49.84 	9 	2,617 	1.06 	– 	191 	0.08 	– 	– 	– 	– 	−2,010 	−0.82 	245,928 	NJ
New York 	35 	555,544 	50.32 	35 	534,511 	48.42 	– 	12,373 	1.12 	– 	1,517 	0.14 	– 	75 	.01 	– 	21,033 	1.91 	1,103,945 	NY
North Carolina 	10 	115,874 	48.04 	– 	124,208 	51.49 	10 	1,126 	0.47 	– 	– 	– 	– 	– 	– 	– 	−8,334 	−3.45 	241,208 	NC
Ohio 	22 	375,048 	51.73 	22 	340,821 	47.01 	– 	6,456 	0.89 	– 	2,616 	0.36 	– 	– 	– 	– 	34,227 	4.72 	724,967 	OH
Oregon 	3 	20,619 	50.51 	3 	19,955 	48.89 	– 	245 	0.60 	– 	– 	– 	– 	– 	– 	– 	664 	1.64 	40,819 	OR
