Grover Cleveland	Democratic
Benjamin Harrison	Republican
James Weaver	Populist
John Bidwell	Prohibition
Simon Wing	Socialist Labor
Margin
State Total
Alabama	11	138,135	59.40	11	9,184	3.95	-	84,984	36.55	-	240	0.10	-	-	-	-	53,151	22.86	232,543	AL
Arkansas	8	87,834	59.30	8	47,072	31.78	-	11,831	7.99	-	113	0.08	-	-	-	-	40,762	27.52	148,117	AR
California	9	118,174	43.83	8	118,027	43.78	1	25,311	9.39	-	8,096	3.00	-	-	-	-	147	0.05	269,609	CA
Colorado	4	-	-	-	38,620	41.13	-	53,584	57.07	4	1,687	1.80	-	-	-	-	-14,964	-15.94	93,891	CO
Connecticut	6	82,395	50.06	6	77,032	46.80	-	809	0.49	-	4,026	2.45	-	333	0.20	-	5,363	3.26	164,595	CT
Delaware	3	18,581	49.90	3	18,077	48.55	-	-	-	-	564	1.51	-	-	-	-	504	1.35	37,235	DE
Florida	4	30,153	85.01	4	-	-	-	4,843	13.65	-	475	1.34	-	-	-	-	25,310	71.35	35,471	FL
Georgia	13	129,446	58.01	13	48,408	21.70	-	41,939	18.80	-	988	0.44	-	-	-	-	81,038	36.32	223,126	GA
Idaho	3	-	-	-	8,599	44.31	-	10,520	54.21	3	288	1.48	-	-	-	-	-1,921	-9.90	19,407	ID
Illinois	24	426,281	48.79	24	399,288	45.70	-	22,207	2.54	-	25,871	2.96	-	-	-	-	26,993	3.09	873,647	IL
Indiana	15	262,740	47.46	15	255,615	46.17	-	22,208	4.01	-	13,050	2.36	-	-	-	-	7,125	1.29	553,613	IN
Iowa	13	196,367	44.31	-	219,795	49.60	13	20,595	4.65	-	6,402	1.44	-	-	-	-	-23,428	-5.29	443,159	IA
Kansas	10	-	-	-	157,241	48.40	-	163,111	50.20	10	4,553	1.40	-	-	-	-	-5,870	-1.81	324,905	KS
Kentucky	13	175,461	51.48	13	135,462	39.74	-	23,500	6.89	-	6,441	1.89	-	-	-	-	39,999	11.73	340,864	KY
