William Howard Taft	Republican
William Jennings Bryan	Democratic
Eugene V. Debs	Socialist
Eugene Chafin	Prohibition
Thomas Hisgen	Independence
Thomas Watson	Populist
August Gillhaus	Socialist Labor
Margin
State Total
Alabama	11	25,561	24.31	-	74,391	70.75	11	1,450	1.38	-	690	0.66	-	497	0.47	-	1,576	1.50	-	-	-	-	-48,830	-46.44	105,152	AL
Arkansas	9	56,624	37.30	-	87,015	57.31	9	5,842	3.85	-	1,026	0.68	-	289	0.19	-	1,026	0.68	-	-	-	-	-30,391	-20.02	151,822	AR
California	10	214,398	55.46	10	127,492	32.98	-	28,659	7.41	-	11,770	3.04	-	4,278	1.11	-	-	-	-	-	-	-	86,906	22.48	386,597	CA
Colorado	5	123,693	46.88	-	126,644	48.00	5	7,960	3.02	-	5,559	2.11	-	-	-	-	-	-	-	-	-	-	-2,951	-1.12	263,858	CO
Connecticut	7	112,915	59.43	7	68,255	35.92	-	5,113	2.69	-	2,380	1.25	-	728	0.38	-	-	-	-	608	0.32	-	44,660	23.50	190,003	CT
Delaware	3	25,014	52.10	3	22,055	45.94	-	239	0.50	-	670	1.40	-	29	0.06	-	-	-	-	-	-	-	2,959	6.16	48,007	DE
Florida	5	10,654	21.58	-	31,104	63.01	5	3,747	7.59	-	1,356	2.75	-	553	1.12	-	1,946	3.94	-	-	-	-	-20,450	-41.43	49,360	FL
Georgia	13	41,355	31.21	-	72,350	54.60	13	584	0.44	-	1,452	1.10	-	76	0.06	-	16,687	12.59	-	-	-	-	-30,995	-23.39	132,504	GA
Idaho	3	52,621	54.09	3	36,162	37.17	-	6,400	6.58	-	1,986	2.04	-	124	0.13	-	-	-	-	-	-	-	16,459	16.92	97,293	ID
Illinois	27	629,932	54.53	27	450,810	39.02	-	34,711	3.00	-	29,364	2.54	-	7,724	0.67	-	633	0.05	-	1,680	0.15	-	179,122	15.50	1,155,254	IL
Indiana	15	348,993	48.40	15	338,262	46.91	-	13,476	1.87	-	18,045	2.50	-	514	0.07	-	1,193	0.17	-	643	0.09	-	10,731	1.49	721,126	IN
Iowa	13	275,209	55.62	13	200,771	40.58	-	8,287	1.67	-	9,837	1.99	-	404	0.08	-	261	0.05	-	-	-	-	74,438	15.05	494,769	IA
Kansas	10	197,216	52.46	10	161,209	42.88	-	12,420	3.30	-	5,033	1.34	-	68	0.02	-	-	-	-	-	-	-	36,007	9.58	375,946	KS
Kentucky	13	235,711	48.03	-	244,092	49.74	13	4,093	0.83	-	5,885	1.20	-	200	0.04	-	333	0.07	-	405	0.08	-	-8,381	-1.71	490,719	KY
Louisiana	9	8,958	11.93	-	63,568	84.63	9	2,514	3.35	-	-	-	-	77	0.10	-	-	-	-	-	-	-	-54,610	-72.70	75,117	LA
Maine	6	66,987	63.00	6	35,403	33.29	-	1,758	1.65	-	1,487	1.40	-	700	0.66	-	1	0.00	-	-	-	-	31,584	29.70	106,336	ME
Maryland	8	116,513	48.85	2	115,908	48.59	6	2,323	0.97	-	3,302	1.38	-	485	0.20	-	-	-	-	-	-	-	605	0.25	238,531	MD
Massachusetts	16	265,966	58.21	16	155,543	34.04	-	10,779	2.36	-	4,374	0.96	-	19,237	4.21	-	-	-	-	1,011	0.22	-	110,423	24.17	456,919	MA
Michigan	14	335,580	61.93	14	175,771	32.44	-	11,586	2.14	-	16,974	3.13	-	760	0.14	-	-	-	-	1,096	0.20	-	159,809	29.49	541,830	MI
