Calvin Coolidge	Republican
John W. Davis	Democratic
Robert La Follette	Progressive
Herman Faris	Prohibition
William Foster	Communist
Frank Johns	Socialist Labor
Margin
State Total
Alabama	12	45,005	27.01	-	112,966	67.81	12	8,084	4.85	-	538	0.32	-	-	-	-	-	-	-	-67,961	-40.79	166,593	AL
Arizona	3	30,516	41.26	3	26,235	35.47	-	17,210	23.27	-	-	-	-	-	-	-	-	-	-	4,281	5.79	73,961	AZ
Arkansas	9	40,564	29.28	-	84,795	61.21	9	13,173	9.51	-	-	-	-	-	-	-	-	-	-	-44,231	-31.93	138,532	AR
California	13	733,250	57.20	13	105,514	8.23	-	424,649	33.13	-	18,365	1.43	-	-	-	-	-	-	-	308,601	24.07	1,281,900	CA
Colorado	6	195,171	57.02	6	75,238	21.98	-	69,945	20.44	-	966	0.28	-	562	0.16	-	378	0.11	-	119,933	35.04	342,260	CO
Connecticut	7	246,322	61.54	7	110,184	27.53	-	42,416	10.60	-	-	-	-	-	-	-	1,373	0.34	-	136,138	34.01	400,295	CT
Delaware	3	52,441	57.70	3	33,445	36.80	-	4,979	5.48	-	-	-	-	-	-	-	-	-	-	18,996	20.90	90,885	DE
Florida	6	30,633	28.06	-	62,083	56.88	6	8,625	7.90	-	5,498	5.04	-	-	-	-	-	-	-	-31,450	-28.81	109,154	FL
Georgia	14	30,300	18.19	-	123,200	73.96	14	12,691	7.62	-	231	0.14	-	-	-	-	-	-	-	-92,900	-55.77	166,577	GA
Idaho	4	69,879	47.12	4	24,256	16.36	-	54,160	36.52	-	-	-	-	-	-	-	-	-	-	15,719	10.60	148,295	ID
Illinois	29	1,453,321	58.84	29	576,975	23.36	-	432,027	17.49	-	2,367	0.10	-	2,622	0.11	-	2,334	0.09	-	876,346	35.48	2,470,067	IL
Indiana	15	703,042	55.25	15	492,245	38.69	-	71,700	5.64	-	4,416	0.35	-	987	0.08	-	-	-	-	210,797	16.57	1,272,390	IN
Iowa	13	537,635	55.03	13	162,600	16.64	-	272,243	27.87	-	-	-	-	4,037	0.41	-	-	-	-	265,392	27.17	976,960	IA
Kansas	10	407,671	61.54	10	156,319	23.60	-	98,461	14.86	-	-	-	-	-	-	-	-	-	-	251,352	37.94	662,454	KS
Kentucky	13	398,966	48.93	13	374,855	45.98	-	38,465	4.72	-	-	-	-	-	-	-	1,499	0.18	-	24,111	2.96	815,332	KY
Louisiana	10	24,670	20.23	-	93,218	76.44	10	-	-	-	-	-	-	-	-	-	-	-	-	-68,548	-56.21	121,951	LA
Maine	6	138,440	72.03	6	41,964	21.83	-	11,382	5.92	-	-	-	-	-	-	-	406	0.21	-	96,476	50.20	192,192	ME
