Franklin D. Roosevelt	Democratic
Thomas E. Dewey	Republican
No Candidate	Southern Democrat/Texas Regulars
Norman Thomas	Socialist
Other	Other
Margin
State total
Alabama	11	198,918	81.28	11	44,540	18.20	-	-	-	-	190	0.08	-	1,095	0.45	-	154,378	63.08	244,743	AL
Arizona	4	80,926	58.80	4	56,287	40.90	-	-	-	-	-	-	-	421	0.31	-	24,639	17.90	137,634	AZ
Arkansas	9	148,965	69.95	9	63,551	29.84	-	-	-	-	438	0.21	-	-	-	-	85,414	40.11	212,954	AR
California	25	1,988,564	56.48	25	1,512,965	42.97	-	-	-	-	2,515	0.07	-	16,831	0.48	-	475,599	13.51	3,520,875	CA
Colorado	6	234,331	46.40	-	268,731	53.21	6	-	-	-	1,977	0.39	-	-	-	-	-34,400	-6.81	505,039	CO
Connecticut	8	435,146	52.30	8	390,527	46.94	-	-	-	-	5,097	0.61	-	1,220	0.15	-	44,619	5.36	831,990	CT
Delaware	3	68,166	54.38	3	56,747	45.27	-	-	-	-	154	0.12	-	294	0.23	-	11,419	9.11	125,361	DE
Florida	8	339,377	70.32	8	143,215	29.68	-	-	-	-	-	-	-	-	-	-	196,162	40.65	482,592	FL
Georgia	12	268,187	81.74	12	59,880	18.25	-	-	-	-	6	0.00	-	36	0.01	-	208,307	63.49	328,109	GA
Idaho	4	107,399	51.55	4	100,137	48.07	-	-	-	-	282	0.14	-	503	0.24	-	7,262	3.49	208,321	ID
Illinois	28	2,079,479	51.52	28	1,939,314	48.05	-	-	-	-	180	0.00	-	17,088	0.42	-	140,165	3.47	4,036,061	IL
Indiana	13	781,403	46.73	-	875,891	52.38	13	-	-	-	2,223	0.13	-	12,574	0.75	-	-94,488	-5.65	1,672,091	IN
Iowa	10	499,876	47.49	-	547,267	51.99	10	-	-	-	1,511	0.14	-	3,945	0.37	-	-47,391	-4.50	1,052,599	IA
Kansas	8	287,458	39.18	-	442,096	60.25	8	-	-	-	1,613	0.22	-	2,609	0.36	-	-154,638	-21.07	733,776	KS
Kentucky	11	472,589	54.45	11	392,448	45.22	-	-	-	-	535	0.06	-	2,349	0.27	-	80,141	9.23	867,921	KY
Louisiana	10	281,564	80.59	10	67,750	19.39	-	-	-	-	-	-	-	69	0.02	-	213,814	61.20	349,383	LA
Maine	5	140,631	47.45	-	155,434	52.44	5	-	-	-	-	-	-	335	0.11	-	-14,803	-4.99	296,400	ME
Maryland	8	315,490	51.85	8	292,949	48.15	-	-	-	-	-	-	-	-	-	-	22,541	3.70	608,439	MD
Massachusetts	16	1,035,296	52.80	16	921,350	46.99	-	-	-	-	-	-	-	4,019	0.21	-	113,946	5.81	1,960,665	MA
Michigan	19	1,106,899	50.19	19	1,084,423	49.18	-	-	-	-	4,598	0.21	-	9,303	0.42	-	22,476	1.02	2,205,223	MI
Minnesota	11	589,864	52.41	11	527,416	46.86	-	-	-	-	5,073	0.45	-	3,176	0.28	-	62,448	5.55	1,125,529	MN
Mississippi	9	168,479	93.56	9	11,601	6.44	-	-	-	-	-	-	-	-	-	-	156,878	87.12	180,080	MS
Missouri	15	807,804	51.37	15	761,524	48.43	-	-	-	-	1,751	0.11	-	1,395	0.09	-	46,280	2.94	1,572,474	MO
Montana	4	112,556	54.28	4	93,163	44.93	-	-	-	-	1,296	0.63	-	340	0.16	-	19,393	9.35	207,355	MT
Nebraska	6	233,246	41.42	-	329,880	58.58	6	-	-	-	-	-	-	-	-	-	-96,634	-17.16	563,126	NE
Nevada	3	29,623	54.62	3	24,611	45.38	-	-	-	-	-	-	-	-	-	-	5,012	9.24	54,234	NV
New Hampshire	4	119,663	52.11	4	109,916	47.87	-	-	-	-	46	0.02	-	-	-	-	9,747	4.24	229,625	NH
New Jersey	16	987,874	50.31	16	961,335	48.95	-	-	-	-	3,358	0.17	-	11,194	0.57	-	26,539	1.35	1,963,761	NJ
New Mexico	4	81,389	53.47	4	70,688	46.44	-	-	-	-	-	-	-	148	0.10	-	10,701	7.03	152,225	NM
New York	47	3,304,238	52.31	47	2,987,647	47.30	-	-	-	-	10,553	0.17	-	14,352	0.23	-	316,591	5.01	6,316,790	NY
