Dwight D. Eisenhower	Republican
Adlai Stevenson	Democratic
T. Coleman Andrews/Unpledged Electors	States' Rights	
Eric Hass	Socialist Labor
Margin	
State Total
Alabama	11	195,694	39.39	-	280,844	56.52	10	20,323	4.09	-	-	-	-	-85,150	-17.13	496,698	AL
Arizona	4	176,990	60.99	4	112,880	38.90	-	303	0.10	-	-	-	-	64,110	22.09	290,173	AZ
Arkansas	8	186,287	45.82	-	213,277	52.46	8	7,008	1.72	-	-	-	-	-26,990	-6.64	406,572	AR
California	32	3,027,668	55.39	32	2,420,135	44.27	-	6,087	0.11	-	300	0.01	-	607,533	11.11	5,466,355	CA
Colorado	6	394,479	59.49	6	263,997	39.81	-	759	0.11	-	3,308	0.50	-	130,482	19.68	663,074	CO
Connecticut	8	711,837	63.72	8	405,079	36.26	-	-	-	-	-	-	-	306,758	27.46	1,117,121	CT
Delaware	3	98,057	55.09	3	79,421	44.62	-	-	-	-	110	0.06	-	18,636	10.47	177,988	DE
Florida	10	643,849	57.27	10	480,371	42.73	-	-	-	-	-	-	-	163,478	14.54	1,124,220	FL
Georgia	12	216,652	32.65	-	441,094	66.48	12	-	-	-	-	-	-	-224,442	-33.83	663,480	GA
Idaho	4	166,979	61.17	4	105,868	38.78	-	-	-	-	-	-	-	61,111	22.39	272,989	ID
Illinois	27	2,623,327	59.52	27	1,775,682	40.29	-	-	-	-	8,342	0.19	-	847,645	19.23	4,407,407	IL
Indiana	13	1,182,811	59.90	13	783,908	39.70	-	-	-	-	1,334	0.07	-	398,903	20.20	1,974,607	IN
Iowa	10	729,187	59.06	10	501,858	40.65	-	3,202	0.26	-	125	0.01	-	227,329	18.41	1,234,564	IA
Kansas	8	566,878	65.44	8	296,317	34.21	-	-	-	-	-	-	-	270,561	31.23	866,243	KS
Kentucky	10	572,192	54.30	10	476,453	45.21	-	-	-	-	358	0.03	-	95,739	9.09	1,053,805	KY
Louisiana	10	329,047	53.28	10	243,977	39.51	-	44,520	7.21	-	-	-	-	85,070	13.78	617,544	LA
Maine	5	249,238	70.87	5	102,468	29.13	-	-	-	-	-	-	-	146,770	41.73	351,706	ME
Maryland	9	559,738	60.04	9	372,613	39.96	-	-	-	-	-	-	-	187,125	20.07	932,351	MD
Massachusetts	16	1,393,197	59.32	16	948,190	40.37	-	-	-	-	5,573	0.24	-	445,007	18.95	2,348,506	MA
Michigan	20	1,713,647	55.63	20	1,359,898	44.15	-	-	-	-	-	-	-	353,749	11.48	3,080,468	MI
Minnesota	11	719,302	53.68	11	617,525	46.08	-	-	-	-	2,080	0.16	-	101,777	7.60	1,340,005	MN
Mississippi	8	60,685	24.46	-	144,498	58.23	8	42,966	17.31	-	-	-	-	-83,813	-33.78	248,149	MS
Missouri	13	914,289	49.89	-	918,273	50.11	13	-	-	-	-	-	-	-3,984	-0.22	1,832,562	MO
Montana	4	154,933	57.13	4	116,238	42.87	-	-	-	-	-	-	-	38,695	14.27	271,171	MT
Nebraska	6	378,108	65.51	6	199,029	34.49	-	-	-	-	-	-	-	179,079	31.03	577,137	NE
Nevada	3	56,049	57.97	3	40,640	42.03	-	-	-	-	-	-	-	15,409	15.94	96,689	NV
New Hampshire	4	176,519	66.11	4	90,364	33.84	-	111	0.04	-	-	-	-	86,155	32.27	266,994	NH
New Jersey	16	1,606,942	64.68	16	850,337	34.23	-	5,317	0.21	-	6,736	0.27	-	756,605	30.46	2,484,312	NJ
New Mexico	4	146,788	57.81	4	106,098	41.78	-	364	0.14	-	69	0.03	-	40,690	16.02	253,926	NM
